"abbreviation","description"
"bs","Bosanski"
"bg","Български език"
"hr","Hrvatski"
"cz","Čeština"
"dk","Dansk"
"de","Deutsch"
"en","English"
"ee","Eesti"
"fi","Suomi"
"fr","Français"
"gr","Eλληνικά"
"hu","Magyar"
"it","Italiano"
"jp","日本語"
"lv","Latviešu"
"lt","Lietuvių"
"nl","Nederlands"
"no","Norsk"
"pl","Polski"
"pt","Português"
"ro","Română"
"sr","Српски"
"sk","Slovenský Jazyk"
"si","Slovenščina"
"es","Español"
"se","Svenska"
"ru","Pусский"
